City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,jabinyanah,35.035,10.9081,44.4,43,0,9.22,TN,1643586405
342,zhigansk,66.7697,123.3711,-33.65,100,100,1.41,RU,1643586405
343,anjiang,27.3194,110.1031,35.91,99,100,2.53,CN,1643586405
344,richards bay,-28.783,32.0377,70.86,88,99,6.17,ZA,1643586466
345,norwood,42.1945,-71.1995,19.08,69,0,6.91,US,1643586373
346,graneros,-34.0667,-70.7333,78.98,36,0,3.0,CL,1643586467
347,namatanai,-3.6667,152.4333,84.18,70,100,4.5,PG,1643586467
348,belaya gora,68.5333,146.4167,-32.22,100,88,1.36,RU,1643586231
349,banjar,-8.19,114.9675,82.26,87,100,3.15,ID,1643586468
350,vestmanna,62.1564,-7.1664,34.72,64,75,31.07,FO,1643586468
351,almaznyy,48.0448,40.045,32.14,97,100,16.44,RU,1643586469
352,chelmza,53.1846,18.6047,38.28,67,53,17.05,PL,1643586469
353,oussouye,12.485,-16.5469,75.38,68,100,10.31,SN,1643586469
354,sao jose da coroa grande,-8.8978,-35.1478,78.8,82,76,7.74,BR,1643586470
355,meadow lake,34.8014,-106.5436,47.17,63,100,0.47,US,1643586470
356,alofi,-19.0595,-169.9187,73.29,94,100,11.5,NU,1643586387
357,saint george,37.1041,-113.5841,63.07,16,0,1.01,US,1643586176
358,igrim,63.1906,64.4162,-8.55,100,97,2.77,RU,1643586471
359,pultusk,52.7025,21.0828,38.08,65,100,24.49,PL,1643586471
360,ambon,-3.6954,128.1814,87.94,62,20,17.27,ID,1643586472
361,snezhnogorsk,69.1933,33.2531,1.9,99,77,8.34,RU,1643586472
362,karlstad,59.3793,13.5036,27.16,68,0,5.75,SE,1643586473
363,grand gaube,-20.0064,57.6608,79.2,82,100,3.0,MU,1643586430
364,talcahuano,-36.7167,-73.1167,65.88,59,0,14.97,CL,1643586399
365,isangel,-19.55,169.2667,82.51,94,100,4.61,VU,1643586474
366,chernyshevskiy,63.0128,112.4714,-16.62,100,99,2.19,RU,1643586259
367,encruzilhada do sul,-30.5439,-52.5219,66.18,77,56,7.36,BR,1643586474
368,mae sot,16.7167,98.5667,57.15,100,30,0.0,TH,1643586475
369,rio grande,-32.035,-52.0986,73.94,77,14,21.18,BR,1643586475
370,pangai,-19.8,-174.35,80.92,76,99,9.04,TO,1643586476
371,torbay,47.6666,-52.7314,37.38,82,75,23.02,CA,1643586214
372,manuk mangkaw,4.8,119.85,81.36,74,64,8.57,PH,1643586476
373,ust-maya,60.4167,134.5333,-32.15,100,100,0.27,RU,1643586477
374,kushima,31.4583,131.2333,40.51,70,1,7.83,JP,1643586477
375,pacifica,37.6138,-122.4869,66.04,75,20,16.11,US,1643586478
376,oktyabrskoye,43.0645,44.7417,21.34,100,7,2.24,RU,1643586478
377,bulgan,48.8125,103.5347,-10.41,88,4,3.96,MN,1643586479
378,pemba,-12.974,40.5178,78.04,77,3,1.95,MZ,1643586479
379,poum,-20.2333,164.0167,80.49,73,98,9.35,NC,1643586479
380,san cristobal,7.7669,-72.225,68.18,91,97,3.09,VE,1643586427
381,sobolevo,54.4299,31.8996,29.37,98,99,4.72,RU,1643586480
382,broken hill,-31.95,141.4333,78.51,73,40,8.05,AU,1643586480
383,florianopolis,-27.6146,-48.5012,73.36,76,75,3.44,BR,1643586218
384,goalpara,26.1667,90.6167,54.05,61,1,2.17,IN,1643586481
385,riyadh,24.6877,46.7219,53.74,45,0,10.22,SA,1643586355
386,fortuna,40.5982,-124.1573,59.18,80,0,6.91,US,1643586481
387,linxia,35.6003,103.2064,6.58,88,47,3.53,CN,1643586482
388,suez,29.9737,32.5263,53.6,44,30,5.19,EG,1643586483
389,azare,11.6765,10.1948,60.21,18,30,8.43,NG,1643586274
390,ancud,-41.8697,-73.8203,60.42,66,33,8.97,CL,1643586472
391,kargasok,59.0556,80.8572,6.13,96,100,8.79,RU,1643586484
392,contamana,-7.3333,-75.0167,72.63,96,100,2.73,PE,1643586484
393,znamenskoye,57.1281,73.8282,8.11,96,97,6.08,RU,1643586545
